Lemma,Rank,SFI,U
evolution,2420,"54,213","26,38"
awareness,2421,"54,213","26,38"
violent,2422,"54,212","26,38"
slave,2423,"54,211","26,37"
wealthy,2424,"54,211","26,37"
architecture,2425,"54,211","26,37"
acceptable,2426,"54,208","26,35"
journal,2427,"54,208","26,35"
coal,2428,"54,208","26,35"
measurement,2429,"54,207","26,34"
random,2430,"54,207","26,34"
successfully,2431,"54,192","26,25"
depress,2432,"54,188","26,23"
illustration,2433,"54,182","26,20"
burst,2434,"54,181","26,19"
privilege,2435,"54,180","26,18"
buyer,2436,"54,176","26,16"
mutual,2437,"54,176","26,16"
rail,2438,"54,171","26,12"
motivate,2439,"54,156","26,04"
laboratory,2440,"54,154","26,03"
mortgage,2441,"54,153","26,02"
promotion,2442,"54,143","25,96"
passion,2443,"54,140","25,94"
champion,2444,"54,128","25,87"
fulfill,2445,"54,127","25,86"
dust,2446,"54,125","25,85"
dedicate,2447,"54,122","25,83"
roughly,2448,"54,120","25,82"
skirt,2449,"54,116","25,80"
province,2450,"54,115","25,79"
march,2451,"54,115","25,79"
evaluation,2452,"54,113","25,78"
compromise,2453,"54,111","25,77"
accomplish,2454,"54,111","25,77"
weakness,2455,"54,108","25,75"
announcement,2456,"54,107","25,75"
salt,2457,"54,105","25,74"
glance,2458,"54,103","25,72"
opera,2459,"54,101","25,71"
contest,2460,"54,097","25,69"
brush,2461,"54,097","25,69"
embarrass,2462,"54,093","25,66"
gallery,2463,"54,090","25,64"
genetic,2464,"54,086","25,62"
aggressive,2465,"54,086","25,62"
chest,2466,"54,085","25,62"
format,2467,"54,082","25,60"
literary,2468,"54,079","25,58"
govern,2469,"54,078","25,57"
embrace,2470,"54,057","25,45"
praise,2471,"54,055","25,44"
silent,2472,"54,050","25,41"
pump,2473,"54,044","25,38"
publisher,2474,"54,044","25,37"
celebration,2475,"54,039","25,34"
golf,2476,"54,039","25,34"
compensation,2477,"54,038","25,34"
classical,2478,"54,036","25,33"
weigh,2479,"54,029","25,29"
versus,2480,"54,028","25,28"
deficit,2481,"54,023","25,25"
modify,2482,"54,021","25,24"
flash,2483,"54,019","25,23"
friendship,2484,"54,018","25,22"
profession,2485,"54,014","25,20"
literally,2486,"54,014","25,20"
equation,2487,"54,012","25,19"
gesture,2488,"54,005","25,15"
entertain,2489,"54,002","25,13"
fantastic,2490,"54,001","25,13"
assign,2491,"53,999","25,11"
inflation,2492,"53,997","25,10"
historic,2493,"53,997","25,10"
injure,2494,"53,983","25,02"
remote,2495,"53,978","24,99"
therapy,2496,"53,974","24,97"
orange,2497,"53,973","24,96"
twist,2498,"53,971","24,95"
personnel,2499,"53,967","24,93"
imagination,2500,"53,959","24,88"
disagree,2501,"53,957","24,87"
throat,2502,"53,948","24,82"
insight,2503,"53,945","24,80"
tackle,2504,"53,942","24,78"
forever,2505,"53,932","24,73"
exceed,2506,"53,931","24,72"
expenditure,2507,"53,925","24,69"
joy,2508,"53,923","24,67"
pregnant,2509,"53,914","24,63"
reliable,2510,"53,913","24,62"
gear,2511,"53,912","24,62"
poet,2512,"53,907","24,59"
fortune,2513,"53,907","24,59"
ceremony,2514,"53,902","24,56"
pile,2515,"53,897","24,53"
pig,2516,"53,894","24,52"
mixture,2517,"53,893","24,51"
automatically,2518,"53,880","24,43"
scholar,2519,"53,872","24,39"
psychological,2520,"53,872","24,39"
dramatically,2521,"53,871","24,38"
stake,2522,"53,871","24,38"
creature,2523,"53,870","24,38"
partnership,2524,"53,869","24,37"
participation,2525,"53,865","24,35"
clause,2526,"53,863","24,34"
penalty,2527,"53,863","24,34"
chamber,2528,"53,861","24,33"
fancy,2529,"53,860","24,32"
poetry,2530,"53,858","24,31"
chat,2531,"53,853","24,28"
clothing,2532,"53,851","24,27"
evolve,2533,"53,850","24,27"
sake,2534,"53,846","24,24"
shelf,2535,"53,841","24,22"
boost,2536,"53,839","24,20"
tail,2537,"53,835","24,18"
possession,2538,"53,833","24,17"
abortion,2539,"53,831","24,16"
curious,2540,"53,827","24,14"
wooden,2541,"53,823","24,12"
boom,2542,"53,821","24,10"
tale,2543,"53,815","24,07"
democratic,2544,"53,815","24,07"
maintenance,2545,"53,805","24,01"
consequently,2546,"53,802","24,00"
pot,2547,"53,799","23,98"
cow,2548,"53,792","23,95"
strengthen,2549,"53,792","23,94"
whilst,2550,"53,791","23,94"
constraint,2551,"53,790","23,93"
fold,2552,"53,789","23,93"
bin,2553,"53,786","23,91"
undergo,2554,"53,786","23,91"
potentially,2555,"53,783","23,89"
scope,2556,"53,782","23,89"
pretend,2557,"53,777","23,86"
diversity,2558,"53,771","23,83"
allege,2559,"53,766","23,80"
pride,2560,"53,764","23,79"
intense,2561,"53,760","23,77"
inquiry,2562,"53,751","23,72"
resign,2563,"53,747","23,70"
craft,2564,"53,747","23,70"
strict,2565,"53,746","23,69"
concrete,2566,"53,743","23,68"
shell,2567,"53,740","23,66"
damn,2568,"53,723","23,57"
distinct,2569,"53,718","23,54"
humor,2570,"53,713","23,51"
limitation,2571,"53,712","23,51"
indication,2572,"53,706","23,47"
stability,2573,"53,705","23,47"
wise,2574,"53,703","23,46"
neglect,2575,"53,702","23,46"
compose,2576,"53,702","23,45"
jail,2577,"53,699","23,44"
shelter,2578,"53,694","23,41"
mere,2579,"53,691","23,40"
carbon,2580,"53,691","23,40"
regulate,2581,"53,687","23,37"
cheese,2582,"53,681","23,34"
trigger,2583,"53,680","23,33"
pipe,2584,"53,675","23,31"
destruction,2585,"53,674","23,30"
guitar,2586,"53,669","23,27"
flag,2587,"53,666","23,26"
piano,2588,"53,663","23,24"
magic,2589,"53,659","23,22"
mystery,2590,"53,656","23,21"
ski,2591,"53,656","23,21"
whisper,2592,"53,649","23,17"
rear,2593,"53,645","23,15"
menu,2594,"53,645","23,15"
species,2595,"53,644","23,14"
moon,2596,"53,643","23,13"
presumably,2597,"53,638","23,11"
bless,2598,"53,637","23,10"
airline,2599,"53,636","23,10"
amendment,2600,"53,632","23,08"
grandmother,2601,"53,629","23,06"
jury,2602,"53,623","23,03"
cooperation,2603,"53,619","23,01"
civilian,2604,"53,613","22,98"
composition,2605,"53,607","22,94"
coin,2606,"53,600","22,91"
regardless,2607,"53,599","22,90"
scan,2608,"53,594","22,88"
bunch,2609,"53,588","22,85"
racial,2610,"53,582","22,81"
greet,2611,"53,581","22,81"
hopefully,2612,"53,580","22,80"
sanction,2613,"53,579","22,80"
trick,2614,"53,576","22,78"
paragraph,2615,"53,576","22,78"
maker,2616,"53,568","22,74"
chocolate,2617,"53,564","22,72"
stimulate,2618,"53,563","22,71"
belt,2619,"53,561","22,70"
potato,2620,"53,552","22,66"
narrative,2621,"53,551","22,65"
tissue,2622,"53,547","22,63"
barely,2623,"53,544","22,62"
invent,2624,"53,542","22,61"
tourism,2625,"53,540","22,59"
pro,2626,"53,534","22,56"
stair,2627,"53,534","22,56"
hesitate,2628,"53,524","22,51"
shine,2629,"53,523","22,51"
motivation,2630,"53,523","22,50"
romantic,2631,"53,514","22,46"
firmly,2632,"53,512","22,45"
interior,2633,"53,509","22,43"
stomach,2634,"53,508","22,43"
nowhere,2635,"53,503","22,41"
pray,2636,"53,490","22,33"
championship,2637,"53,480","22,28"
servant,2638,"53,479","22,28"
immigrant,2639,"53,478","22,27"
excess,2640,"53,477","22,27"
complexity,2641,"53,473","22,25"
liability,2642,"53,470","22,23"
surprisingly,2643,"53,462","22,19"
extract,2644,"53,460","22,18"
implementation,2645,"53,448","22,12"
bias,2646,"53,444","22,10"
differently,2647,"53,442","22,09"
catalog,2648,"53,434","22,05"
continuous,2649,"53,427","22,01"
golden,2650,"53,425","22,00"
stamp,2651,"53,418","21,97"
guideline,2652,"53,415","21,95"
envelope,2653,"53,409","21,92"
knife,2654,"53,408","21,92"
biological,2655,"53,400","21,88"
consume,2656,"53,397","21,86"
luxury,2657,"53,392","21,84"
weekly,2658,"53,388","21,82"
wherever,2659,"53,386","21,81"
bite,2660,"53,383","21,79"
printer,2661,"53,383","21,79"
firstly,2662,"53,382","21,79"
anxious,2663,"53,380","21,77"
adventure,2664,"53,377","21,76"
fence,2665,"53,373","21,74"
exhaust,2666,"53,363","21,69"
attraction,2667,"53,361","21,68"
ocean,2668,"53,361","21,68"
quietly,2669,"53,358","21,67"
castle,2670,"53,355","21,65"
veteran,2671,"53,355","21,65"
reflection,2672,"53,355","21,65"
nerve,2673,"53,354","21,65"
determination,2674,"53,344","21,60"
altogether,2675,"53,335","21,55"
fiction,2676,"53,333","21,54"
carpet,2677,"53,310","21,43"
cluster,2678,"53,309","21,42"
confusion,2679,"53,293","21,34"
hurry,2680,"53,293","21,34"
logic,2681,"53,288","21,32"
controversial,2682,"53,284","21,30"
raw,2683,"53,278","21,27"
grammar,2684,"53,262","21,19"
revise,2685,"53,260","21,18"
hint,2686,"53,260","21,18"
hook,2687,"53,252","21,14"
bell,2688,"53,252","21,14"
liquid,2689,"53,241","21,09"
panic,2690,"53,240","21,09"
uncle,2691,"53,227","21,02"
rice,2692,"53,225","21,01"
slope,2693,"53,218","20,98"
happiness,2694,"53,207","20,93"
genuine,2695,"53,206","20,92"
vessel,2696,"53,205","20,92"
verb,2697,"53,199","20,89"
reckon,2698,"53,190","20,85"
silly,2699,"53,181","20,80"
transportation,2700,"53,176","20,78"
harbor,2701,"53,176","20,78"
comedy,2702,"53,172","20,76"
chase,2703,"53,169","20,74"
storage,2704,"53,165","20,72"
universe,2705,"53,163","20,71"
horrible,2706,"53,162","20,71"
sheep,2707,"53,161","20,71"
lover,2708,"53,159","20,70"
rat,2709,"53,152","20,66"
portrait,2710,"53,149","20,65"
innocent,2711,"53,146","20,64"
substitute,2712,"53,137","20,59"
supplement,2713,"53,136","20,59"
adjustment,2714,"53,131","20,56"
reasonably,2715,"53,130","20,56"
filter,2716,"53,127","20,54"
flexible,2717,"53,126","20,54"
abstract,2718,"53,118","20,50"
tent,2719,"53,111","20,47"
precise,2720,"53,108","20,45"
distant,2721,"53,105","20,44"
stranger,2722,"53,099","20,41"
shade,2723,"53,093","20,39"
grain,2724,"53,071","20,28"
situate,2725,"53,068","20,27"
summarize,2726,"53,066","20,26"
leap,2727,"53,065","20,25"
snap,2728,"53,059","20,23"
probability,2729,"53,057","20,22"
leather,2730,"53,052","20,19"
uncertainty,2731,"53,040","20,14"
swear,2732,"53,038","20,13"
refugee,2733,"53,025","20,07"
shore,2734,"53,015","20,02"
monthly,2735,"52,994","19,92"
comprise,2736,"52,981","19,86"
stir,2737,"52,981","19,86"
excitement,2738,"52,963","19,79"
sigh,2739,"52,955","19,75"
pregnancy,2740,"52,952","19,73"
experimental,2741,"52,949","19,72"
institutional,2742,"52,940","19,68"
slice,2743,"52,939","19,67"
wander,2744,"52,936","19,66"
empire,2745,"52,932","19,64"
subsequently,2746,"52,931","19,64"
gentle,2747,"52,911","19,55"
attendance,2748,"52,898","19,49"
ownership,2749,"52,893","19,47"
qualification,2750,"52,889","19,45"
suspend,2751,"52,876","19,39"
functional,2752,"52,867","19,35"
voluntary,2753,"52,861","19,33"
pale,2754,"52,859","19,32"
stain,2755,"52,856","19,30"
athlete,2756,"52,852","19,28"
organic,2757,"52,851","19,28"
tongue,2758,"52,850","19,28"
server,2759,"52,822","19,15"
structural,2760,"52,822","19,15"
fool,2761,"52,811","19,10"
alongside,2762,"52,807","19,09"
unite,2763,"52,804","19,07"
gently,2764,"52,792","19,02"
compute,2765,"52,779","18,96"
wipe,2766,"52,760","18,88"
weird,2767,"52,753","18,85"
gaze,2768,"52,738","18,78"
fade,2769,"52,732","18,76"
cough,2770,"52,726","18,73"
hypothesis,2771,"52,711","18,67"
royal,2772,"52,692","18,58"
theoretical,2773,"52,674","18,51"
curtain,2774,"52,670","18,49"
mayor,2775,"52,547","17,97"
darkness,2776,"52,488","17,73"
aunt,2777,"52,447","17,57"
tournament,2778,"52,400","17,38"
registration,2779,"52,381","17,30"
fragment,2780,"52,376","17,28"
listener,2781,"52,324","17,07"
tender,2782,"52,120","16,29"
density,2783,"52,047","16,02"
ugly,2784,"52,000","15,85"
module,2785,"51,847","15,30"
faithfully,2786,"51,795","15,12"
autumn,2787,"51,747","14,95"
cheek,2788,"51,732","14,90"
attachment,2789,"51,687","14,75"
holder,2790,"51,578","14,38"
grin,2791,"50,962","12,48"
noun,2792,"50,415","11,00"
fortunate,2793,"50,366","10,88"
alright,2794,"50,321","10,77"
lazy,2795,"50,050","10,12"
hello,2796,"49,895","9,76"
hunger,2797,"49,704","9,34"
insure,2798,"49,650","9,23"
ashamed,2799,"49,278","8,47"
found,2800,"48,260","6,70"
thirst,2801,"44,788","3,01"
two,,"71,432","1.390,44"
three,,"69,467","884,59"
four,,"66,484","445,02"
five,,"65,479","353,07"
million,,"65,129","325,74"
six,,"64,030","252,91"
hundred,,"62,268","168,57"
ten,,"62,152","164,12"
thousand,,"61,701","147,94"
seven,,"61,589","144,18"
eight,,"61,573","143,66"
nine,,"59,887","97,43"
billion,,"59,548","90,11"
twenty,,"59,235","83,85"
thirty,,"56,931","49,33"
fifty,,"56,438","44,03"
twelve,,"55,765","37,71"
fifteen,,"55,342","34,22"
nineteen,,"55,046","31,96"
forty,,"54,832","30,42"
zero,,"54,640","29,11"
eighteen,,"54,073","25,55"
eleven,,"54,049","25,40"
sixteen,,"53,273","21,25"
sixty,,"53,059","20,23"
fourteen,,"52,541","17,95"
eighty,,"52,098","16,21"
seventy,,"52,058","16,06"
seventeen,,"51,976","15,76"
thirteen,,"51,575","14,37"
ninety,,"50,684","11,71"
trillion,,"46,602","4,57"
august,,"41,586","1,44"
july,,"38,699","0,74"
monday,,"33,206","0,21"
october,,"31,522","0,14"
february,,"31,307","0,14"
january,,"30,633","0,12"
june,,"29,842","0,10"
friday,,"21,934","0,02"
saturday,,"18,160","0,01"
sunday,,"17,435","0,01"
wednesday,,"17,435","0,01"
thursday,,"17,021","0,01"
april,,"15,129","0,00"
december,,"14,802","0,00"
november,,"13,532","0,00"
authority,11,"61,384","137,52"
publish,9,"60,899","123,00"
conference,162,"60,683","117,04"
aspect,5,"60,627","115,54"
client,267,"60,421","110,18"
impact,7,"60,295","107,03"
candidate,59,"59,745","94,29"
obtain,2,"59,391","86,92"
repertoire,1,"58,871","77,10"
distribution,3,"58,705","74,22"
afterward,759,"55,900","38,90"
essentially,101,"55,758","37,65"
classroom,256,"55,732","37,43"
regime,45,"55,503","35,50"
cinema,847,"55,503","35,50"
acid,21,"55,216","33,24"
transaction,306,"55,194","33,06"
disadvantage,474,"55,127","32,56"
dynamic,6,"55,110","32,44"
strategic,458,"54,945","31,22"
shortly,650,"54,583","28,73"
contrary,254,"54,577","28,69"
mid,176,"54,555","28,54"
graph,18,"54,512","28,26"
diary,665,"54,474","28,02"
jazz,760,"54,167","26,10"
click,844,"53,911","24,61"
amongst,433,"53,898","24,54"
sophisticate,503,"53,894","24,51"
translation,40,"53,797","23,97"
headquarter,882,"53,727","23,59"
suicide,373,"53,724","23,57"
portfolio,717,"53,694","23,41"
workshop,481,"53,646","23,15"
occupation,359,"53,641","23,13"
consumption,68,"53,594","22,88"
absorb,460,"53,578","22,79"
domain,8,"53,570","22,75"
leisure,695,"53,541","22,60"
lifestyle,719,"53,465","22,21"
tremendous,830,"53,446","22,11"
exit,618,"53,413","21,94"
curriculum,494,"53,410","21,93"
productivity,362,"53,402","21,89"
superior,271,"53,363","21,69"
assembly,315,"53,363","21,69"
incredible,926,"53,337","21,56"
upward,625,"53,327","21,51"
prominent,307,"53,326","21,51"
lifetime,463,"53,316","21,46"
ultimate,469,"53,316","21,46"
missile,913,"53,272","21,24"
utility,203,"53,269","21,23"
exploit,356,"53,252","21,14"
seminar,804,"53,242","21,10"
widespread,293,"53,205","20,92"
emission,233,"53,200","20,89"
integration,80,"53,175","20,77"
bargain,659,"53,141","20,61"
carrier,532,"53,119","20,51"
dominant,81,"53,098","20,41"
cure,686,"53,097","20,41"
par,13,"53,096","20,40"
admission,490,"53,087","20,36"
dose,111,"53,086","20,35"
execute,547,"53,077","20,31"
conscious,416,"53,068","20,27"
junior,840,"53,055","20,21"
consent,393,"53,047","20,17"
vocabulary,127,"53,047","20,17"
punishment,529,"53,018","20,03"
interval,24,"53,012","20,01"
replacement,432,"53,011","20,00"
scenario,252,"53,010","20,00"
outlet,780,"52,990","19,91"
architect,563,"52,989","19,90"
controversy,454,"52,982","19,87"
feedback,180,"52,959","19,76"
render,309,"52,951","19,73"
puzzle,615,"52,933","19,65"
classify,172,"52,898","19,49"
correctly,423,"52,889","19,45"
accent,486,"52,886","19,44"
economist,567,"52,884","19,43"
scatter,384,"52,883","19,42"
transformation,37,"52,861","19,32"
clever,893,"52,857","19,31"
organ,210,"52,839","19,23"
physically,574,"52,834","19,20"
treaty,666,"52,830","19,18"
diverse,219,"52,818","19,13"
alliance,520,"52,812","19,11"
campus,892,"52,803","19,07"
clue,699,"52,797","19,04"
evident,154,"52,796","19,04"
virtue,299,"52,789","19,01"
commonly,135,"52,785","18,99"
observer,332,"52,778","18,96"
destination,799,"52,775","18,95"
apple,785,"52,765","18,90"
entity,213,"52,741","18,80"
facilitate,130,"52,733","18,76"
agriculture,356,"52,730","18,75"
beam,95,"52,724","18,73"
ton,682,"52,723","18,72"
cattle,381,"52,720","18,71"
cheer,937,"52,718","18,70"
induce,22,"52,710","18,66"
indicator,177,"52,685","18,56"
necessity,424,"52,678","18,53"
calculation,84,"52,675","18,51"
drain,776,"52,670","18,49"
audit,772,"52,662","18,46"
consensus,368,"52,643","18,38"
productive,414,"52,637","18,35"
assignment,377,"52,631","18,33"
gross,626,"52,621","18,29"
ex,164,"52,594","18,17"
painful,801,"52,593","18,17"
reinforce,342,"52,593","18,17"
identification,57,"52,583","18,13"
backward,570,"52,580","18,11"
identical,91,"52,571","18,08"
clinic,558,"52,558","18,02"
sin,120,"52,556","18,02"
valid,197,"52,554","18,01"
bonus,911,"52,549","17,99"
collective,181,"52,544","17,96"
hip,731,"52,534","17,92"
proposition,89,"52,523","17,88"
parameter,4,"52,515","17,84"
terminal,348,"52,512","17,83"
interrupt,737,"52,509","17,82"
fiber,215,"52,503","17,80"
precede,85,"52,496","17,76"
drift,524,"52,483","17,71"
expertise,580,"52,481","17,70"
prediction,99,"52,470","17,66"
communist,628,"52,448","17,57"
elite,117,"52,446","17,56"
confine,400,"52,435","17,52"
stimulus,27,"52,430","17,50"
thereby,191,"52,424","17,48"
physician,173,"52,420","17,46"
elaborate,407,"52,410","17,42"
composer,273,"52,409","17,41"
bat,669,"52,401","17,38"
manual,457,"52,369","17,25"
particle,65,"52,358","17,21"
initiate,247,"52,358","17,21"
politically,576,"52,351","17,18"
sperm,166,"52,350","17,18"
logical,262,"52,345","17,16"
dictionary,470,"52,341","17,14"
clip,854,"52,332","17,11"
invasion,577,"52,323","17,07"
fluid,33,"52,320","17,06"
discrimination,396,"52,304","17,00"
coordinate,83,"52,303","16,99"
sensible,797,"52,302","16,99"
fabric,749,"52,301","16,99"
flexibility,590,"52,293","16,96"
spectrum,76,"52,291","16,95"
lung,413,"52,276","16,89"
lab,803,"52,273","16,88"
grasp,541,"52,258","16,82"
rhythm,468,"52,255","16,81"
ritual,329,"52,235","16,73"
namely,108,"52,235","16,73"
realistic,592,"52,231","16,72"
traditionally,546,"52,221","16,68"
intensity,54,"52,214","16,65"
enforcement,696,"52,211","16,64"
pronounce,480,"52,211","16,64"
wisdom,707,"52,208","16,63"
inevitably,578,"52,207","16,62"
simultaneously,237,"52,197","16,58"
interact,157,"52,188","16,55"
blank,795,"52,185","16,54"
tense,338,"52,184","16,53"
strictly,317,"52,174","16,49"
assert,292,"52,158","16,44"
objection,482,"52,152","16,41"
span,279,"52,151","16,41"
execution,467,"52,150","16,41"
continent,629,"52,148","16,40"
civilization,498,"52,146","16,39"
undermine,473,"52,142","16,38"
airplane,899,"52,139","16,37"
comply,772,"52,137","16,36"
kilometer,842,"52,128","16,32"
neat,903,"52,127","16,32"
fraction,183,"52,116","16,28"
effectiveness,260,"52,114","16,27"
ethics,390,"52,112","16,26"
insert,409,"52,108","16,25"
tempt,779,"52,089","16,18"
availability,325,"52,085","16,16"
faculty,639,"52,083","16,16"
depict,326,"52,083","16,15"
clarify,492,"52,068","16,10"
diagnosis,56,"52,059","16,07"
colony,283,"52,059","16,06"
deadline,928,"52,058","16,06"
motive,556,"52,055","16,05"
mineral,401,"52,053","16,04"
readily,332,"52,049","16,03"
correspondence,100,"52,045","16,01"
tribe,726,"52,040","16,00"
statistical,51,"52,033","15,97"
disability,380,"52,032","15,97"
separation,194,"52,030","15,96"
punch,921,"52,027","15,95"
infect,104,"52,020","15,92"
minimize,323,"52,008","15,88"
informal,349,"52,005","15,87"
plug,848,"52,001","15,85"
punish,765,"51,999","15,85"
artificial,371,"51,997","15,84"
strand,476,"51,993","15,82"
adolescent,126,"51,984","15,79"
scholarship,513,"51,975","15,76"
discourse,25,"51,975","15,76"
purely,382,"51,971","15,74"
partial,60,"51,969","15,74"
legitimate,502,"51,968","15,73"
bound,35,"51,967","15,73"
norm,97,"51,964","15,72"
duration,66,"51,956","15,69"
constitution,471,"51,955","15,69"
homework,933,"51,949","15,66"
horizon,594,"51,949","15,66"
allocate,559,"51,946","15,65"
rational,115,"51,945","15,65"
nest,525,"51,942","15,64"
resemble,421,"51,942","15,64"
deliberately,710,"51,942","15,64"
unemployed,762,"51,935","15,61"
psychology,217,"51,924","15,57"
corruption,619,"51,917","15,55"
probe,225,"51,912","15,53"
harvest,372,"51,909","15,52"
outer,223,"51,908","15,52"
recipe,898,"51,903","15,50"
oxygen,280,"51,900","15,49"
cognitive,17,"51,897","15,48"
subtle,557,"51,892","15,46"
merge,553,"51,888","15,44"
slot,775,"51,873","15,39"
legend,774,"51,871","15,39"
interface,198,"51,870","15,38"
comparable,229,"51,870","15,38"
hedge,845,"51,860","15,34"
ridiculous,932,"51,853","15,32"
linguistic,20,"51,849","15,31"
naked,849,"51,839","15,27"
preliminary,303,"51,831","15,24"
similarity,71,"51,829","15,24"
bulk,542,"51,819","15,20"
mall,959,"51,796","15,12"
rub,914,"51,793","15,11"
poster,868,"51,793","15,11"
myth,475,"51,786","15,09"
ghost,833,"51,771","15,04"
pole,614,"51,771","15,03"
separately,397,"51,766","15,02"
discharge,350,"51,753","14,97"
rope,891,"51,747","14,95"
swell,789,"51,745","14,94"
importantly,522,"51,742","14,93"
processor,770,"51,736","14,92"
robot,50,"51,715","14,84"
correlation,19,"51,713","14,84"
manuscript,134,"51,712","14,83"
transmit,418,"51,696","14,78"
molecule,47,"51,683","14,73"
bacteria,706,"51,682","14,73"
sufficiently,196,"51,678","14,72"
stack,523,"51,672","14,70"
nasty,948,"51,666","14,67"
explicit,73,"51,665","14,67"
revolutionary,552,"51,662","14,66"
projection,144,"51,660","14,66"
essence,511,"51,653","14,63"
sensitivity,70,"51,649","14,62"
spray,846,"51,648","14,61"
usage,264,"51,642","14,59"
bang,929,"51,639","14,59"
bullet,920,"51,629","14,55"
progressive,354,"51,623","14,53"
breakdown,565,"51,618","14,51"
consciousness,236,"51,617","14,51"
influential,509,"51,616","14,51"
insect,261,"51,596","14,44"
underneath,908,"51,594","14,43"
interfere,623,"51,586","14,41"
surplus,712,"51,578","14,38"
bundle,587,"51,569","14,35"
accuracy,137,"51,568","14,35"
whoever,918,"51,563","14,33"
accelerate,504,"51,560","14,32"
oral,175,"51,557","14,31"
diagram,188,"51,547","14,28"
defect,193,"51,545","14,27"
bubble,683,"51,543","14,27"
portray,642,"51,541","14,26"
thread,721,"51,529","14,22"
machinery,691,"51,515","14,17"
barrel,872,"51,509","14,15"
array,231,"51,494","14,11"
stance,605,"51,487","14,08"
radiation,199,"51,484","14,07"
competence,294,"51,475","14,04"
reliability,404,"51,472","14,04"
solar,680,"51,470","14,03"
conservation,297,"51,449","13,96"
sometime,895,"51,445","13,95"
injection,259,"51,435","13,91"
freely,597,"51,433","13,91"
specification,171,"51,423","13,88"
wheat,455,"51,418","13,86"
vertical,200,"51,414","13,85"
incredibly,949,"51,412","13,84"
flesh,832,"51,404","13,82"
donor,443,"51,401","13,81"
intervene,601,"51,401","13,81"
tropical,189,"51,384","13,75"
sketch,461,"51,381","13,74"
profound,607,"51,380","13,74"
transmission,110,"51,379","13,74"
meaningful,483,"51,377","13,73"
incline,694,"51,364","13,69"
artistic,638,"51,354","13,66"
crystal,521,"51,352","13,65"
commodity,599,"51,351","13,65"
prejudice,733,"51,344","13,63"
questionnaire,335,"51,320","13,55"
actively,582,"51,318","13,55"
terribly,942,"51,316","13,54"
gut,788,"51,311","13,52"
consultation,595,"51,291","13,46"
auction,871,"51,288","13,45"
republic,769,"51,274","13,41"
mortality,62,"51,270","13,40"
overhead,768,"51,266","13,38"
formally,506,"51,262","13,37"
verbal,206,"51,261","13,37"
ideology,165,"51,255","13,35"
practitioner,358,"51,254","13,35"
minimal,141,"51,250","13,34"
goodness,771,"51,248","13,33"
loop,285,"51,246","13,32"
allocation,412,"51,243","13,31"
mechanical,379,"51,239","13,30"
straightforward,395,"51,236","13,29"
chemistry,643,"51,233","13,28"
obscure,621,"51,230","13,27"
powder,852,"51,223","13,25"
alien,716,"51,221","13,25"
neutral,266,"51,220","13,24"
historically,585,"51,217","13,23"
compensate,602,"51,205","13,20"
accumulate,429,"51,202","13,19"
marker,48,"51,196","13,17"
utilize,312,"51,189","13,15"
surgeon,835,"51,184","13,14"
pulse,96,"51,182","13,13"
embed,200,"51,148","13,02"
bleed,767,"51,145","13,02"
ruler,596,"51,131","12,98"
leaf,205,"51,130","12,97"
partially,302,"51,124","12,95"
aggregate,207,"51,113","12,92"
thesis,119,"51,108","12,91"
monkey,375,"51,104","12,89"
activate,125,"51,092","12,86"
conceive,419,"51,091","12,85"
intensive,548,"51,087","12,84"
overlap,151,"51,086","12,84"
manipulate,519,"51,077","12,81"
skip,867,"51,072","12,80"
orientation,88,"51,066","12,78"
equality,208,"51,059","12,76"
developmental,34,"51,057","12,75"
articulate,442,"51,055","12,75"
ethical,270,"51,051","12,74"
weave,798,"51,045","12,72"
locally,339,"51,042","12,71"
presume,634,"51,037","12,70"
parental,328,"51,030","12,68"
peasant,459,"51,020","12,65"
chronic,159,"50,981","12,53"
flip,863,"50,978","12,53"
sensation,688,"50,978","12,52"
organism,149,"50,969","12,50"
acute,202,"50,959","12,47"
unity,318,"50,957","12,46"
tumor,214,"50,954","12,46"
trait,98,"50,946","12,43"
compact,186,"50,920","12,36"
commentary,365,"50,912","12,34"
configuration,106,"50,900","12,30"
modification,245,"50,894","12,29"
instinct,836,"50,886","12,26"
container,750,"50,853","12,17"
likelihood,228,"50,836","12,12"
conception,163,"50,831","12,11"
biology,251,"50,820","12,08"
metaphor,425,"50,813","12,06"
audio,807,"50,813","12,06"
closure,322,"50,785","11,98"
dilemma,554,"50,781","11,97"
colonial,75,"50,779","11,97"
diagnose,485,"50,775","11,95"
invade,783,"50,771","11,94"
accurately,508,"50,770","11,94"
stereotype,636,"50,764","11,92"
specialty,887,"50,758","11,91"
positively,499,"50,755","11,90"
threshold,122,"50,744","11,87"
systematic,142,"50,737","11,85"
inject,566,"50,727","11,82"
likewise,440,"50,711","11,78"
liver,427,"50,704","11,76"
hormone,388,"50,684","11,70"
thumb,860,"50,681","11,70"
quotation,583,"50,665","11,66"
independently,310,"50,662","11,65"
cheat,912,"50,660","11,64"
super,816,"50,656","11,63"
individually,661,"50,636","11,58"
reproduce,364,"50,623","11,54"
immune,284,"50,622","11,54"
sphere,168,"50,615","11,52"
clay,722,"50,603","11,49"
dictate,692,"50,600","11,48"
nucleus,78,"50,598","11,48"
noisy,881,"50,595","11,47"
slavery,637,"50,591","11,46"
justification,462,"50,589","11,45"
symbolic,311,"50,589","11,45"
